Model,Algorithm,Dataset,Num_edits,N_runs,Top20_Percentage
Llama3,MEMIT,mcf,10,5,96.00 ± 5.48
Llama3,MEMIT,mcf,50,5,93.78 ± 3.32
Llama3,MEMIT,mcf,100,5,94.14 ± 1.71
Llama3,MEMIT,zsre,10,5,90.00 ± 7.07
Llama3,MEMIT,zsre,50,5,75.90 ± 4.45
Llama3,MEMIT,zsre,100,5,75.93 ± 4.69
gpt2-xl,MEMIT,mcf,10,5,83.56 ± 5.95
gpt2-xl,MEMIT,mcf,50,5,75.63 ± 2.55
gpt2-xl,MEMIT,mcf,100,5,77.56 ± 4.44
gpt2-xl,MEMIT,zsre,10,5,26.00 ± 5.48
gpt2-xl,MEMIT,zsre,50,5,27.84 ± 3.93
gpt2-xl,MEMIT,zsre,100,5,28.17 ± 3.14
gpt-j,MEMIT,mcf,10,5,96.00 ± 8.94
gpt-j,MEMIT,mcf,50,5,98.76 ± 1.86
gpt-j,MEMIT,mcf,100,5,98.95 ± 0.72
gpt-j,MEMIT,zsre,10,5,86.00 ± 8.94
gpt-j,MEMIT,zsre,50,5,85.25 ± 3.04
gpt-j,MEMIT,zsre,100,5,83.04 ± 6.26
