Model,Algorithm,Dataset,Num_edits,N_runs,Avg_Top5_Similarity
Llama3,MEMIT,mcf,10,5,0.8801 ± 0.0195
Llama3,MEMIT,mcf,50,5,0.8806 ± 0.0119
Llama3,MEMIT,mcf,100,5,0.8754 ± 0.0076
Llama3,MEMIT,zsre,10,5,0.8619 ± 0.0093
Llama3,MEMIT,zsre,50,5,0.8379 ± 0.0150
Llama3,MEMIT,zsre,100,5,0.8348 ± 0.0070
gpt2-xl,MEMIT,mcf,10,5,0.8408 ± 0.0381
gpt2-xl,MEMIT,mcf,50,5,0.8492 ± 0.0105
gpt2-xl,MEMIT,mcf,100,5,0.8422 ± 0.0100
gpt2-xl,MEMIT,zsre,10,5,0.7448 ± 0.0159
gpt2-xl,MEMIT,zsre,50,5,0.7316 ± 0.0186
gpt2-xl,MEMIT,zsre,100,5,0.7283 ± 0.0085
gpt-j,MEMIT,mcf,10,5,0.8738 ± 0.0260
gpt-j,MEMIT,mcf,50,5,0.8840 ± 0.0090
gpt-j,MEMIT,mcf,100,5,0.8795 ± 0.0048
gpt-j,MEMIT,zsre,10,5,0.8290 ± 0.0264
gpt-j,MEMIT,zsre,50,5,0.8152 ± 0.0148
gpt-j,MEMIT,zsre,100,5,0.8172 ± 0.0093
