Model,Algorithm,Dataset,Num_edits,N_runs,1-5,5-20,20-50,50-100,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000+
Llama3,MEMIT,mcf,10,5,8.40 ± 0.89,1.00 ± 1.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.40 ± 0.55,0.00 ± 0.00
Llama3,MEMIT,mcf,50,5,38.20 ± 1.92,7.00 ± 3.32,0.80 ± 1.10,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.45,0.00 ± 0.00,2.00 ± 1.22,0.20 ± 0.45
Llama3,MEMIT,mcf,100,5,74.60 ± 3.91,14.80 ± 3.70,1.40 ± 1.14,0.40 ± 0.89,0.20 ± 0.45,0.40 ± 0.55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.45,0.40 ± 0.89,0.00 ± 0.00,2.60 ± 0.89,0.40 ± 0.55
Llama3,MEMIT,zsre,10,5,6.40 ± 0.89,2.60 ± 1.34,0.40 ± 0.55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.45,0.00 ± 0.00,0.40 ± 0.55,0.00 ± 0.00,0.00 ± 0.00
Llama3,MEMIT,zsre,50,5,28.20 ± 3.35,8.80 ± 2.86,5.00 ± 1.58,1.40 ± 1.52,1.60 ± 0.89,0.40 ± 0.55,0.40 ± 0.55,0.20 ± 0.45,0.20 ± 0.45,0.40 ± 0.55,0.60 ± 0.89,0.40 ± 0.55,1.40 ± 2.07,0.00 ± 0.00
Llama3,MEMIT,zsre,100,5,51.20 ± 6.57,22.60 ± 4.93,9.00 ± 2.12,3.40 ± 1.14,4.20 ± 2.68,1.60 ± 1.52,0.80 ± 0.84,0.40 ± 0.89,0.40 ± 0.55,0.80 ± 0.84,0.80 ± 1.30,0.60 ± 0.89,2.20 ± 2.28,0.00 ± 0.00
gpt2-xl,MEMIT,mcf,10,5,5.60 ± 1.34,2.60 ± 1.34,0.60 ± 0.55,0.40 ± 0.55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.20 ± 0.45,0.00 ± 0.00,0.20 ± 0.45,0.20 ± 0.45,0.00 ± 0.00
gpt2-xl,MEMIT,mcf,50,5,27.40 ± 2.88,8.80 ± 1.64,4.80 ± 2.95,0.80 ± 0.84,1.20 ± 0.84,0.20 ± 0.45,0.60 ± 0.55,0.20 ± 0.45,0.00 ± 0.00,0.60 ± 0.89,0.40 ± 0.55,0.80 ± 0.84,2.60 ± 1.14,0.00 ± 0.00
gpt2-xl,MEMIT,mcf,100,5,53.80 ± 2.05,19.60 ± 4.93,7.60 ± 4.93,2.80 ± 0.45,3.20 ± 1.92,1.40 ± 0.55,0.20 ± 0.45,0.40 ± 0.55,0.20 ± 0.45,0.60 ± 0.89,0.80 ± 0.84,1.00 ± 0.71,3.80 ± 2.17,0.00 ± 0.00
gpt2-xl,MEMIT,zsre,10,5,0.80 ± 0.84,1.80 ± 0.84,1.20 ± 0.45,0.40 ± 0.55,1.60 ± 1.95,0.60 ± 0.55,0.00 ± 0.00,1.00 ± 0.71,0.40 ± 0.89,0.20 ± 0.45,0.40 ± 0.89,0.20 ± 0.45,1.40 ± 1.14,0.00 ± 0.00
