Model,Algorithm,Dataset,Num_Edits,N_runs,1,2-5,6-20,21-50,51-100,101-200,201-300,301-400,401-500,501-600,601-700,701-800,801-900,901-1000
Llama3,MEMIT,mcf,10,5,5.2±0.8,3.6±0.5,0.6±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.4±0.5
Llama3,MEMIT,mcf,50,5,23.8±1.5,15.8±2.2,5.8±3.3,0.6±0.9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.2±0.4,0.0±0.0,2.2±1.6
Llama3,MEMIT,mcf,100,5,48.8±4.0,28.4±3.6,12.6±3.5,1.0±1.0,0.4±0.9,0.2±0.4,0.4±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.2±0.4,0.4±0.9,0.0±0.0,3.0±0.7
Llama3,MEMIT,zsre,10,5,4.0±1.0,2.4±0.5,2.6±1.3,0.4±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.2±0.4,0.0±0.0,0.4±0.5,0.0±0.0
Llama3,MEMIT,zsre,50,5,19.2±2.8,9.4±2.1,8.0±2.6,4.4±1.7,1.2±1.6,1.6±0.9,0.4±0.5,0.4±0.5,0.2±0.4,0.2±0.4,0.4±0.5,0.6±0.9,0.4±0.5,1.4±2.1
Llama3,MEMIT,zsre,100,5,30.4±4.2,22.2±1.6,16.8±4.2,7.8±1.9,3.2±1.1,4.2±2.7,1.4±1.5,0.8±0.8,0.2±0.4,0.4±0.5,0.8±0.8,0.8±1.3,0.6±0.9,2.2±2.3
gpt-j,MEMIT,mcf,10,5,5.6±0.5,2.8±1.1,1.0±0.7,0.4±0.9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
gpt-j,MEMIT,mcf,50,5,24.6±2.5,18.8±3.8,4.4±1.1,0.6±0.9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
gpt-j,MEMIT,mcf,100,5,48.0±5.4,39.4±5.1,7.0±2.0,0.6±0.9,0.2±0.4,0.0±0.0,0.2±0.4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
gpt-j,MEMIT,zsre,10,5,2.8±0.4,4.2±1.6,1.6±1.8,1.0±0.7,0.2±0.4,0.2±0.4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
gpt-j,MEMIT,zsre,50,5,16.0±2.1,14.4±1.1,10.4±0.9,3.2±1.8,2.4±1.7,0.4±0.9,0.0±0.0,0.4±0.5,0.0±0.0,0.2±0.4,0.0±0.0,0.0±0.0,0.2±0.4,0.2±0.4
gpt-j,MEMIT,zsre,100,5,29.2±6.6,27.0±4.2,20.4±1.8,8.2±3.8,3.4±2.5,0.8±0.4,1.4±1.1,0.4±0.9,0.0±0.0,0.4±0.5,0.0±0.0,0.2±0.4,0.2±0.4,0.2±0.4
gpt2-xl,MEMIT,mcf,10,5,1.8±1.5,4.2±1.8,2.2±1.3,0.6±0.5,0.4±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.2±0.4,0.0±0.0,0.2±0.4,0.2±0.4
gpt2-xl,MEMIT,mcf,50,5,12.2±3.6,17.2±4.7,7.2±1.6,4.4±3.2,0.8±0.8,1.2±0.8,0.2±0.4,0.6±0.5,0.2±0.4,0.0±0.0,0.6±0.9,0.4±0.5,0.8±0.8,2.6±1.1
gpt2-xl,MEMIT,mcf,100,5,24.0±4.6,32.8±3.5,17.2±4.3,7.2±4.6,2.6±0.5,3.2±1.9,1.4±0.5,0.2±0.4,0.4±0.5,0.2±0.4,0.6±0.9,1.0±0.7,0.8±0.8,3.8±2.2
gpt2-xl,MEMIT,zsre,10,5,0.2±0.4,1.0±1.2,1.4±1.1,1.2±0.4,0.4±0.5,1.6±1.9,0.6±0.5,0.0±0.0,1.0±0.7,0.4±0.9,0.2±0.4,0.4±0.9,0.2±0.4,1.4±1.1
gpt2-xl,MEMIT,zsre,50,5,1.8±1.3,5.2±2.6,6.2±2.5,4.6±1.9,2.8±0.8,4.6±1.5,3.4±1.7,3.4±1.5,3.6±2.9,1.0±0.7,1.2±1.1,2.2±1.3,2.6±1.1,5.2±2.5
gpt2-xl,MEMIT,zsre,100,5,2.6±2.3,10.6±3.8,12.8±2.3,7.6±3.2,8.6±2.6,6.8±2.6,5.0±3.0,5.4±1.8,4.0±2.3,5.0±2.1,4.4±3.0,4.8±1.5,5.6±1.5,8.6±2.7
