Model,Algorithm,Dataset,Num_Edits,N_runs,Top-5 (%)
Llama3,MEMIT,mcf,10,5,89.8±0.5
Llama3,MEMIT,mcf,50,5,81.8±3.8
Llama3,MEMIT,mcf,100,5,80.9±3.4
Llama3,MEMIT,zsre,10,5,64.0±8.9
Llama3,MEMIT,zsre,50,5,59.8±5.1
Llama3,MEMIT,zsre,100,5,57.3±5.5
gpt-j,MEMIT,mcf,10,5,85.8±5.3
gpt-j,MEMIT,mcf,50,5,89.7±2.2
gpt-j,MEMIT,mcf,100,5,91.6±1.6
gpt-j,MEMIT,zsre,10,5,70.0±15.8
gpt-j,MEMIT,zsre,50,5,63.6±1.7
gpt-j,MEMIT,zsre,100,5,61.2±5.5
gpt2-xl,MEMIT,mcf,10,5,61.1±15.1
gpt2-xl,MEMIT,mcf,50,5,60.8±5.7
gpt2-xl,MEMIT,mcf,100,5,59.6±2.1
gpt2-xl,MEMIT,zsre,10,5,12.0±13.0
gpt2-xl,MEMIT,zsre,50,5,14.7±8.1
gpt2-xl,MEMIT,zsre,100,5,14.4±2.6
